year,county,state,fips,rate
1996,Autauga County,AL,1001,22.7
1996,Baldwin County,AL,1003,21.3
1996,Barbour County,AL,1005,23.8
1996,Bibb County,AL,1007,25.4
1996,Blount County,AL,1009,24.6
1996,Bullock County,AL,1011,22.4
1996,Butler County,AL,1013,22.8
1996,Calhoun County,AL,1015,24.4
1996,Chambers County,AL,1017,24
1996,Cherokee County,AL,1019,26.3
1996,Chilton County,AL,1021,25.2
1996,Choctaw County,AL,1023,21.5
1996,Clarke County,AL,1025,21.4
1996,Clay County,AL,1027,24.7
1996,Cleburne County,AL,1029,26.2
1996,Coffee County,AL,1031,21.2
1996,Colbert County,AL,1033,23.2
1996,Conecuh County,AL,1035,22.6
1996,Coosa County,AL,1037,23.3
1996,Covington County,AL,1039,24.3
1996,Crenshaw County,AL,1041,24
1996,Cullman County,AL,1043,25.1
1996,Dale County,AL,1045,22.6
1996,Dallas County,AL,1047,21.1
1996,Dekalb County,AL,1049,26.6
1996,Elmore County,AL,1051,22.2
1996,Escambia County,AL,1053,25.5
1996,Etowah County,AL,1055,25.2
1996,Fayette County,AL,1057,25
1996,Franklin County,AL,1059,25.6
1996,Geneva County,AL,1061,25.4
1996,Greene County,AL,1063,18.8
1996,Hale County,AL,1065,21.5
1996,Henry County,AL,1067,22.5
1996,Houston County,AL,1069,22.3
1996,Jackson County,AL,1071,27.5
1996,Jefferson County,AL,1073,20.4
1996,Lamar County,AL,1075,24.5
1996,Lauderdale County,AL,1077,22.3
1996,Lawrence County,AL,1079,25.4
1996,Lee County,AL,1081,18.6
1996,Limestone County,AL,1083,24.1
1996,Lowndes County,AL,1085,20
1996,Macon County,AL,1087,17.5
1996,Madison County,AL,1089,17.6
1996,Marengo County,AL,1091,21.3
1996,Marion County,AL,1093,26.9
1996,Marshall County,AL,1095,25.7
1996,Mobile County,AL,1097,22.2
1996,Monroe County,AL,1099,22.3
1996,Montgomery County,AL,1101,18.8
1996,Morgan County,AL,1103,25.2
1996,Perry County,AL,1105,20.7
1996,Pickens County,AL,1107,21.4
1996,Pike County,AL,1109,20.8
1996,Randolph County,AL,1111,24.5
1996,Russell County,AL,1113,25
1996,St. Clair County,AL,1115,24.9
1996,Shelby County,AL,1117,17.3
1996,Sumter County,AL,1119,19.5
1996,Talladega County,AL,1121,24.9
1996,Tallapoosa County,AL,1123,22.6
1996,Tuscaloosa County,AL,1125,19.6
1996,Walker County,AL,1127,26
1996,Washington County,AL,1129,22.5
1996,Wilcox County,AL,1131,20.1
1996,Winston County,AL,1133,26.8
1996,Aleutians East Borough,AK,2013,25.4
1996,Aleutians West Census Area,AK,2016,25.2
1996,Anchorage Municipality,AK,2020,19.7
1996,Bethel Census Area,AK,2050,23.9
